特征1,特征2,相关系数
T_ASSETS,T_LIAB_EQUITY,0.9999999607997466
T_LIAB_EQUITY,T_ASSETS,0.9999999607997466
T_REVENUE,REVENUE,0.9999752442877499
REVENUE,T_REVENUE,0.9999752442877499
C_INF_FR_OPERATE_A,C_FR_SALE_G_S,0.9995498829957497
C_FR_SALE_G_S,C_INF_FR_OPERATE_A,0.9995498829957497
T_REVENUE,T_COGS,0.9984857704540755
T_COGS,T_REVENUE,0.9984857704540755
REVENUE,T_COGS,0.9984734718791822
T_COGS,REVENUE,0.9984734718791822
C_OUTF_OPERATE_A,C_INF_FR_OPERATE_A,0.9982941475848308
C_INF_FR_OPERATE_A,C_OUTF_OPERATE_A,0.9982941475848308
C_OUTF_OPERATE_A,C_FR_SALE_G_S,0.9977852203461431
C_FR_SALE_G_S,C_OUTF_OPERATE_A,0.9977852203461431
T_COGS,COGS,0.997759815054922
COGS,T_COGS,0.997759815054922
C_PAID_G_S,C_OUTF_OPERATE_A,0.996108731079506
C_OUTF_OPERATE_A,C_PAID_G_S,0.996108731079506
REVENUE,COGS,0.9954854262134043
COGS,REVENUE,0.9954854262134043
COGS,T_REVENUE,0.9954094005906055
T_REVENUE,COGS,0.9954094005906055
C_FR_SALE_G_S,C_PAID_G_S,0.9931746250512803
C_PAID_G_S,C_FR_SALE_G_S,0.9931746250512803
T_REVENUE,C_INF_FR_OPERATE_A,0.9925630014679869
C_INF_FR_OPERATE_A,T_REVENUE,0.9925630014679869
C_INF_FR_OPERATE_A,C_PAID_G_S,0.9924286615233756
C_PAID_G_S,C_INF_FR_OPERATE_A,0.9924286615233756
T_COGS,C_INF_FR_OPERATE_A,0.9922998563269878
C_INF_FR_OPERATE_A,T_COGS,0.9922998563269878
C_INF_FR_OPERATE_A,REVENUE,0.9922906664733678
REVENUE,C_INF_FR_OPERATE_A,0.9922906664733678
T_REVENUE,C_FR_SALE_G_S,0.9922831989291249
C_FR_SALE_G_S,T_REVENUE,0.9922831989291249
C_FR_SALE_G_S,REVENUE,0.9920892933495639
REVENUE,C_FR_SALE_G_S,0.9920892933495639
T_COGS,C_FR_SALE_G_S,0.992011041776714
C_FR_SALE_G_S,T_COGS,0.992011041776714
C_OUTF_OPERATE_A,T_COGS,0.991092027259668
